datetime,classification,in_bed__inBed,in_bed__notInBed,asleep__Asleep,asleep__Awake,state__Core Sleep,state__REM Sleep,state__Deep Sleep
2025-11-20 23:21:28.550,notInBed,0.01,0.99,,,,,
2025-11-20 23:21:34.550,notInBed,0.01,0.99,,,,,
2025-11-20 23:21:40.550,notInBed,0.01,0.99,,,,,
2025-11-20 23:21:46.550,notInBed,0.01,0.99,,,,,
2025-11-20 23:21:52.550,notInBed,0.01,0.99,,,,,
2025-11-20 23:21:58.550,notInBed,0.01,0.99,,,,,
2025-11-20 23:22:04.550,notInBed,0.01,0.99,,,,,
2025-11-20 23:22:10.550,notInBed,0.01,0.99,,,,,
2025-11-20 23:22:16.550,notInBed,0.01,0.99,,,,,
2025-11-20 23:22:22.550,notInBed,0.01,0.99,,,,,
2025-11-20 23:22:28.550,notInBed,0.01,0.99,,,,,
2025-11-20 23:22:34.550,notInBed,0.01,0.99,,,,,
2025-11-20 23:22:40.550,notInBed,0.01,0.99,,,,,
2025-11-20 23:22:46.550,notInBed,0.0,1.0,,,,,
2025-11-20 23:22:52.550,notInBed,0.01,0.99,,,,,
2025-11-20 23:22:58.550,notInBed,0.0,1.0,,,,,
2025-11-20 23:23:04.550,notInBed,0.0,1.0,,,,,
2025-11-20 23:23:10.550,notInBed,0.0,1.0,,,,,
2025-11-20 23:23:16.550,notInBed,0.01,0.99,,,,,
2025-11-20 23:23:22.550,notInBed,0.01,0.99,,,,,
2025-11-20 23:23:28.550,notInBed,0.13,0.87,,,,,
2025-11-20 23:23:34.550,notInBed,0.01,0.99,,,,,
2025-11-20 23:23:40.550,Core Sleep,1.0,0.0,0.82,0.18,0.9,0.0,0.1
2025-11-20 23:23:46.550,Core Sleep,1.0,0.0,0.62,0.38,0.68,0.11,0.21
2025-11-20 23:23:52.550,Core Sleep,1.0,0.0,0.6,0.4,0.77,0.11,0.12
2025-11-20 23:23:58.550,Core Sleep,1.0,0.0,0.53,0.47,0.45,0.19,0.36
2025-11-20 23:24:04.550,Core Sleep,1.0,0.0,0.55,0.45,0.65,0.28,0.07
2025-11-20 23:24:10.550,notInBed,0.0,1.0,,,,,
2025-11-20 23:24:16.550,notInBed,0.01,0.99,,,,,
2025-11-20 23:24:22.550,notInBed,0.0,1.0,,,,,
2025-11-20 23:24:28.550,notInBed,0.0,1.0,,,,,
2025-11-20 23:24:34.550,notInBed,0.02,0.98,,,,,
2025-11-20 23:24:40.550,notInBed,0.1,0.9,,,,,
2025-11-20 23:24:46.550,Awake,0.61,0.39,0.29,0.71,,,
2025-11-20 23:24:52.550,Awake,1.0,0.0,0.38,0.62,,,
2025-11-20 23:24:58.550,Core Sleep,1.0,0.0,0.57,0.43,0.64,0.22,0.14
2025-11-20 23:25:04.550,Awake,1.0,0.0,0.39,0.61,,,
2025-11-20 23:25:10.550,Awake,1.0,0.0,0.36,0.64,,,
2025-11-20 23:25:16.550,Awake,1.0,0.0,0.4,0.6,,,
2025-11-20 23:25:22.550,Deep Sleep,1.0,0.0,0.9,0.1,0.31,0.03,0.66
2025-11-20 23:25:28.550,notInBed,0.12,0.88,,,,,
2025-11-20 23:25:34.550,REM Sleep,0.54,0.46,0.62,0.38,0.31,0.35,0.34
2025-11-20 23:25:40.550,Awake,0.67,0.33,0.19,0.81,,,
2025-11-20 23:25:46.550,Awake,0.66,0.34,0.0,1.0,,,
2025-11-20 23:25:52.550,notInBed,0.24,0.76,,,,,
2025-11-20 23:25:58.550,Awake,0.74,0.26,0.11,0.89,,,
2025-11-20 23:26:04.550,Awake,0.62,0.38,0.05,0.95,,,
2025-11-20 23:26:10.550,Awake,0.51,0.49,0.02,0.98,,,
2025-11-20 23:26:16.550,Awake,0.69,0.31,0.05,0.95,,,
2025-11-20 23:26:22.550,Awake,0.71,0.29,0.04,0.96,,,
2025-11-20 23:26:28.550,Core Sleep,0.97,0.03,0.6,0.4,0.68,0.23,0.09
2025-11-20 23:26:34.550,Awake,0.95,0.05,0.38,0.62,,,
2025-11-20 23:26:40.550,Awake,0.98,0.02,0.33,0.67,,,
2025-11-20 23:26:46.550,Awake,0.98,0.02,0.41,0.59,,,
2025-11-20 23:26:52.550,Core Sleep,0.94,0.06,0.53,0.47,0.85,0.09,0.06
2025-11-20 23:26:58.550,notInBed,0.12,0.88,,,,,
2025-11-20 23:27:04.550,notInBed,0.2,0.8,,,,,
2025-11-20 23:27:10.550,Awake,0.73,0.27,0.13,0.87,,,
2025-11-20 23:27:16.550,Core Sleep,0.87,0.13,0.57,0.43,0.68,0.21,0.11
2025-11-20 23:27:22.550,Awake,1.0,0.0,0.12,0.88,,,
2025-11-20 23:27:28.550,Awake,0.99,0.01,0.08,0.92,,,
2025-11-20 23:27:34.550,Awake,0.98,0.02,0.27,0.73,,,
2025-11-20 23:27:40.550,Awake,0.89,0.11,0.28,0.72,,,
2025-11-20 23:27:46.550,Awake,0.9,0.1,0.31,0.69,,,
2025-11-20 23:27:52.550,Core Sleep,0.87,0.13,0.55,0.45,0.73,0.17,0.1
2025-11-20 23:27:58.550,Awake,0.89,0.11,0.23,0.77,,,
2025-11-20 23:28:04.550,Awake,0.98,0.02,0.17,0.83,,,
2025-11-20 23:28:10.550,Awake,0.92,0.08,0.24,0.76,,,
2025-11-20 23:28:16.550,Awake,0.84,0.16,0.18,0.82,,,
2025-11-20 23:28:22.550,Core Sleep,0.94,0.06,0.52,0.48,0.93,0.06,0.01
2025-11-20 23:28:28.550,Awake,0.88,0.12,0.26,0.74,,,
2025-11-20 23:28:34.550,Awake,1.0,0.0,0.24,0.76,,,
2025-11-20 23:28:40.550,Awake,1.0,0.0,0.14,0.86,,,
2025-11-20 23:28:46.550,Awake,1.0,0.0,0.13,0.87,,,
2025-11-20 23:28:52.550,Awake,0.98,0.02,0.13,0.87,,,
2025-11-20 23:28:58.550,Awake,0.99,0.01,0.15,0.85,,,
2025-11-20 23:29:04.550,Awake,0.99,0.01,0.03,0.97,,,
2025-11-20 23:29:10.550,Awake,1.0,0.0,0.07,0.93,,,
2025-11-20 23:29:16.550,Awake,0.96,0.04,0.27,0.73,,,
2025-11-20 23:29:22.550,Awake,0.98,0.02,0.14,0.86,,,
2025-11-20 23:29:28.550,Core Sleep,0.99,0.01,0.54,0.46,0.77,0.16,0.07
2025-11-20 23:29:34.550,Awake,1.0,0.0,0.35,0.65,,,
2025-11-20 23:29:40.550,Awake,1.0,0.0,0.38,0.62,,,
2025-11-20 23:29:46.550,Core Sleep,1.0,0.0,0.57,0.43,0.89,0.08,0.03
