datetime,classification,in_bed__inBed,in_bed__notInBed,asleep__Asleep,asleep__Awake,state__Core Sleep,state__REM Sleep,state__Deep Sleep
2025-11-30 03:20:10.590,notInBed,0.03,0.97,,,,,
2025-11-30 03:20:12.590,notInBed,0.03,0.97,,,,,
2025-11-30 03:20:14.590,notInBed,0.03,0.97,,,,,
2025-11-30 03:20:16.590,notInBed,0.03,0.97,,,,,
2025-11-30 03:20:18.590,notInBed,0.03,0.97,,,,,
2025-11-30 03:20:20.590,notInBed,0.03,0.97,,,,,
2025-11-30 03:20:22.590,notInBed,0.03,0.97,,,,,
2025-11-30 03:20:24.590,notInBed,0.03,0.97,,,,,
2025-11-30 03:20:26.590,notInBed,0.03,0.97,,,,,
2025-11-30 03:20:28.590,notInBed,0.03,0.97,,,,,
2025-11-30 03:20:30.590,notInBed,0.03,0.97,,,,,
2025-11-30 03:20:32.590,notInBed,0.03,0.97,,,,,
2025-11-30 03:20:34.590,notInBed,0.03,0.97,,,,,
2025-11-30 03:20:36.590,notInBed,0.01,0.99,,,,,
2025-11-30 03:20:38.590,notInBed,0.01,0.99,,,,,
2025-11-30 03:20:40.590,notInBed,0.0,1.0,,,,,
2025-11-30 03:20:42.590,notInBed,0.0,1.0,,,,,
2025-11-30 03:20:44.590,notInBed,0.31,0.69,,,,,
2025-11-30 03:20:46.590,notInBed,0.0,1.0,,,,,
2025-11-30 03:20:48.590,notInBed,0.02,0.98,,,,,
2025-11-30 03:20:50.590,notInBed,0.0,1.0,,,,,
2025-11-30 03:20:52.590,notInBed,0.0,1.0,,,,,
2025-11-30 03:20:54.590,notInBed,0.01,0.99,,,,,
2025-11-30 03:20:56.590,notInBed,0.0,1.0,,,,,
2025-11-30 03:20:58.590,notInBed,0.0,1.0,,,,,
2025-11-30 03:21:00.590,notInBed,1.0,0.0,0.58,0.42,1.5442426496269871e-06,1.2867571501064022e-07,3.685278956234393e-08
2025-11-30 03:21:02.590,notInBed,0.04,0.96,,,,,
2025-11-30 03:21:04.590,notInBed,0.02,0.98,,,,,
2025-11-30 03:21:06.590,notInBed,0.02,0.98,,,,,
2025-11-30 03:21:08.590,notInBed,0.01,0.99,,,,,
2025-11-30 03:21:10.590,notInBed,0.0,1.0,,,,,
2025-11-30 03:21:12.590,notInBed,0.01,0.99,,,,,
2025-11-30 03:21:14.590,notInBed,0.0,1.0,,,,,
2025-11-30 03:21:16.590,notInBed,0.0,1.0,,,,,
2025-11-30 03:21:18.590,notInBed,0.0,1.0,,,,,
2025-11-30 03:21:20.590,notInBed,0.0,1.0,,,,,
2025-11-30 03:21:22.590,notInBed,0.0,1.0,,,,,
2025-11-30 03:21:24.590,notInBed,0.0,1.0,,,,,
