datetime,classification,in_bed__inBed,in_bed__notInBed,asleep__Asleep,asleep__Awake,state__Core Sleep,state__REM Sleep,state__Deep Sleep
2025-11-17 21:45:34.900,Core Sleep,1.0,0.0,0.58,0.42,0.77,0.15,0.08
2025-11-17 21:45:40.900,Core Sleep,1.0,0.0,0.58,0.42,0.77,0.15,0.08
2025-11-17 21:45:46.900,Core Sleep,1.0,0.0,0.58,0.42,0.77,0.15,0.08
2025-11-17 21:45:52.900,Core Sleep,1.0,0.0,0.58,0.42,0.77,0.15,0.08
2025-11-17 21:45:58.900,Core Sleep,1.0,0.0,0.58,0.42,0.77,0.15,0.08
2025-11-17 21:46:04.900,Core Sleep,1.0,0.0,0.58,0.42,0.77,0.15,0.08
2025-11-17 21:46:10.900,Core Sleep,1.0,0.0,0.58,0.42,0.77,0.15,0.08
2025-11-17 21:46:16.900,Core Sleep,1.0,0.0,0.58,0.42,0.77,0.15,0.08
2025-11-17 21:46:22.900,Core Sleep,1.0,0.0,0.58,0.42,0.77,0.15,0.08
2025-11-17 21:46:28.900,Core Sleep,1.0,0.0,0.58,0.42,0.77,0.15,0.08
2025-11-17 21:46:34.900,Core Sleep,1.0,0.0,0.58,0.42,0.77,0.15,0.08
2025-11-17 21:46:40.900,Core Sleep,1.0,0.0,0.58,0.42,0.77,0.15,0.08
2025-11-17 21:46:46.900,Core Sleep,1.0,0.0,0.58,0.42,0.77,0.15,0.08
2025-11-17 21:46:52.900,Awake,0.95,0.05,0.21,0.79,,,
2025-11-17 21:46:58.900,Core Sleep,0.71,0.29,0.55,0.45,0.88,0.09,0.03
2025-11-17 21:47:04.900,Awake,0.99,0.01,0.42,0.58,,,
2025-11-17 21:47:10.900,Awake,1.0,0.0,0.16,0.84,,,
2025-11-17 21:47:16.900,Awake,0.98,0.02,0.1,0.9,,,
2025-11-17 21:47:22.900,Awake,1.0,0.0,0.19,0.81,,,
2025-11-17 21:47:28.900,Awake,1.0,0.0,0.44,0.56,,,
2025-11-17 21:47:34.900,Awake,1.0,0.0,0.28,0.72,,,
2025-11-17 21:47:40.900,Awake,0.98,0.02,0.29,0.71,,,
2025-11-17 21:47:46.900,Awake,1.0,0.0,0.15,0.85,,,
2025-11-17 21:47:52.900,Awake,0.98,0.02,0.12,0.88,,,
2025-11-17 21:47:58.900,Awake,1.0,0.0,0.2,0.8,,,
2025-11-17 21:48:04.900,Awake,0.98,0.02,0.2,0.8,,,
2025-11-17 21:48:10.900,Awake,1.0,0.0,0.3,0.7,,,
2025-11-17 21:48:16.900,Core Sleep,0.97,0.03,0.66,0.34,0.7,0.25,0.05
2025-11-17 21:48:22.900,Awake,0.98,0.02,0.47,0.53,,,
2025-11-17 21:48:28.900,Awake,0.99,0.01,0.45,0.55,,,
2025-11-17 21:48:34.900,Core Sleep,0.98,0.02,0.54,0.46,0.7,0.28,0.02
2025-11-17 21:48:40.900,Core Sleep,0.94,0.06,0.77,0.23,0.73,0.21,0.06
2025-11-17 21:48:46.900,Core Sleep,1.0,0.0,0.94,0.06,0.49,0.47,0.04
2025-11-17 21:48:52.900,Core Sleep,0.96,0.04,0.89,0.11,0.62,0.31,0.07
2025-11-17 21:48:58.900,Core Sleep,1.0,0.0,0.95,0.05,0.63,0.33,0.04
2025-11-17 21:49:04.900,Core Sleep,1.0,0.0,0.5,0.5,0.59,0.27,0.14
2025-11-17 21:49:10.900,Core Sleep,1.0,0.0,0.54,0.46,0.62,0.33,0.05
2025-11-17 21:49:16.900,Awake,1.0,0.0,0.48,0.52,,,
2025-11-17 21:49:22.900,Awake,1.0,0.0,0.34,0.66,,,
2025-11-17 21:49:28.900,Awake,1.0,0.0,0.24,0.76,,,
2025-11-17 21:49:34.900,Awake,1.0,0.0,0.3,0.7,,,
2025-11-17 21:49:40.900,Awake,1.0,0.0,0.43,0.57,,,
2025-11-17 21:49:46.900,Awake,0.97,0.03,0.1,0.9,,,
2025-11-17 21:49:52.900,Awake,0.99,0.01,0.05,0.95,,,
2025-11-17 21:49:58.900,Awake,0.99,0.01,0.19,0.81,,,
2025-11-17 21:50:04.900,Core Sleep,0.83,0.17,0.5,0.5,0.59,0.27,0.14
2025-11-17 21:50:10.900,Awake,0.81,0.19,0.13,0.87,,,
2025-11-17 21:50:16.900,Awake,0.96,0.04,0.19,0.81,,,
2025-11-17 21:50:22.900,Awake,0.88,0.12,0.12,0.88,,,
2025-11-17 21:50:28.900,Awake,0.91,0.09,0.4,0.6,,,
2025-11-17 21:50:34.900,Awake,1.0,0.0,0.2,0.8,,,
2025-11-17 21:50:40.900,Awake,1.0,0.0,0.34,0.66,,,
2025-11-17 21:50:46.900,Awake,0.81,0.19,0.05,0.95,,,
2025-11-17 21:50:52.900,Deep Sleep,1.0,0.0,0.71,0.29,0.32,0.33,0.35
2025-11-17 21:50:58.900,REM Sleep,1.0,0.0,0.65,0.35,0.25,0.51,0.24
2025-11-17 21:51:04.900,REM Sleep,1.0,0.0,0.71,0.29,0.27,0.4,0.33
2025-11-17 21:51:10.900,Awake,1.0,0.0,0.35,0.65,,,
2025-11-17 21:51:16.900,Awake,1.0,0.0,0.27,0.73,,,
2025-11-17 21:51:22.900,Awake,1.0,0.0,0.38,0.62,,,
2025-11-17 21:51:28.900,Awake,0.98,0.02,0.13,0.87,,,
2025-11-17 21:51:34.900,Awake,1.0,0.0,0.23,0.77,,,
2025-11-17 21:51:40.900,REM Sleep,1.0,0.0,0.55,0.45,0.42,0.48,0.1
2025-11-17 21:51:46.900,Core Sleep,0.92,0.08,0.89,0.11,0.55,0.38,0.07
2025-11-17 21:51:52.900,Awake,0.94,0.06,0.28,0.72,,,
2025-11-17 21:51:58.900,Core Sleep,0.97,0.03,0.54,0.46,0.54,0.36,0.1
2025-11-17 21:52:04.900,Awake,0.97,0.03,0.42,0.58,,,
2025-11-17 21:52:10.900,Core Sleep,0.9,0.1,0.59,0.41,0.63,0.32,0.05
2025-11-17 21:52:16.900,Awake,0.75,0.25,0.17,0.83,,,
2025-11-17 21:52:22.900,Awake,0.99,0.01,0.22,0.78,,,
2025-11-17 21:52:28.900,Awake,1.0,0.0,0.43,0.57,,,
2025-11-17 21:52:34.900,Awake,0.77,0.23,0.15,0.85,,,
2025-11-17 21:52:40.900,Awake,0.89,0.11,0.33,0.67,,,
2025-11-17 21:52:46.900,Awake,0.89,0.11,0.08,0.92,,,
2025-11-17 21:52:52.900,Awake,0.9,0.1,0.11,0.89,,,
2025-11-17 21:52:58.900,Core Sleep,0.96,0.04,0.57,0.43,0.57,0.36,0.07
2025-11-17 21:53:04.900,Core Sleep,1.0,0.0,0.52,0.48,0.6,0.35,0.05
2025-11-17 21:53:10.900,Awake,1.0,0.0,0.19,0.81,,,
2025-11-17 21:53:16.900,Awake,1.0,0.0,0.23,0.77,,,
2025-11-17 21:53:22.900,Awake,0.97,0.03,0.34,0.66,,,
2025-11-17 21:53:28.900,Awake,1.0,0.0,0.39,0.61,,,
2025-11-17 21:53:34.900,Awake,1.0,0.0,0.4,0.6,,,
2025-11-17 21:53:40.900,Awake,0.99,0.01,0.47,0.53,,,
2025-11-17 21:53:46.900,Awake,0.95,0.05,0.11,0.89,,,
2025-11-17 21:53:52.900,Awake,0.85,0.15,0.18,0.82,,,
2025-11-17 21:53:58.900,Awake,0.8,0.2,0.42,0.58,,,
2025-11-17 21:54:04.900,Awake,0.71,0.29,0.13,0.87,,,
2025-11-17 21:54:10.900,Awake,0.99,0.01,0.13,0.87,,,
2025-11-17 21:54:16.900,Awake,0.99,0.01,0.09,0.91,,,
2025-11-17 21:54:22.900,Awake,0.97,0.03,0.09,0.91,,,
2025-11-17 21:54:28.900,Awake,0.98,0.02,0.07,0.93,,,
2025-11-17 21:54:34.900,Awake,0.93,0.07,0.17,0.83,,,
2025-11-17 21:54:40.900,Awake,0.91,0.09,0.39,0.61,,,
2025-11-17 21:54:46.900,Awake,1.0,0.0,0.17,0.83,,,
2025-11-17 21:54:52.900,Awake,0.96,0.04,0.14,0.86,,,
2025-11-17 21:54:58.900,Awake,0.79,0.21,0.23,0.77,,,
2025-11-17 21:55:04.900,Awake,0.93,0.07,0.2,0.8,,,
2025-11-17 21:55:10.900,Awake,0.91,0.09,0.28,0.72,,,
2025-11-17 21:55:16.900,Awake,1.0,0.0,0.48,0.52,,,
2025-11-17 21:55:22.900,Awake,0.98,0.02,0.44,0.56,,,
2025-11-17 21:55:28.900,Awake,0.92,0.08,0.32,0.68,,,
2025-11-17 21:55:34.900,Core Sleep,0.87,0.13,0.57,0.43,0.8,0.1,0.1
2025-11-17 21:55:40.900,Awake,0.95,0.05,0.47,0.53,,,
2025-11-17 21:55:46.900,Awake,1.0,0.0,0.27,0.73,,,
2025-11-17 21:55:52.900,Awake,0.99,0.01,0.19,0.81,,,
2025-11-17 21:55:58.900,Awake,0.95,0.05,0.17,0.83,,,
2025-11-17 21:56:04.900,Awake,1.0,0.0,0.25,0.75,,,
2025-11-17 21:56:10.900,Awake,0.85,0.15,0.22,0.78,,,
2025-11-17 21:56:16.900,Core Sleep,0.97,0.03,0.68,0.32,0.66,0.24,0.1
2025-11-17 21:56:22.900,Awake,0.94,0.06,0.34,0.66,,,
2025-11-17 21:56:28.900,Awake,0.97,0.03,0.05,0.95,,,
2025-11-17 21:56:34.900,Awake,0.95,0.05,0.06,0.94,,,
2025-11-17 21:56:40.900,Awake,0.94,0.06,0.06,0.94,,,
2025-11-17 21:56:46.900,Awake,0.94,0.06,0.07,0.93,,,
2025-11-17 21:56:52.900,Awake,0.97,0.03,0.17,0.83,,,
2025-11-17 21:56:58.900,Awake,0.88,0.12,0.31,0.69,,,
2025-11-17 21:57:04.900,Awake,0.94,0.06,0.35,0.65,,,
2025-11-17 21:57:10.900,Awake,0.78,0.22,0.23,0.77,,,
2025-11-17 21:57:16.900,Awake,0.99,0.01,0.03,0.97,,,
2025-11-17 21:57:22.900,Awake,0.95,0.05,0.16,0.84,,,
2025-11-17 21:57:28.900,Awake,0.99,0.01,0.08,0.92,,,
2025-11-17 21:57:34.900,Awake,1.0,0.0,0.2,0.8,,,
2025-11-17 21:57:40.900,Awake,1.0,0.0,0.25,0.75,,,
2025-11-17 21:57:46.900,Core Sleep,1.0,0.0,0.66,0.34,0.6,0.25,0.15
2025-11-17 21:57:52.900,Awake,1.0,0.0,0.34,0.66,,,
2025-11-17 21:57:58.900,Awake,0.99,0.01,0.47,0.53,,,
2025-11-17 21:58:04.900,Awake,1.0,0.0,0.28,0.72,,,
2025-11-17 21:58:10.900,Awake,1.0,0.0,0.22,0.78,,,
2025-11-17 21:58:16.900,Awake,1.0,0.0,0.31,0.69,,,
2025-11-17 21:58:22.900,Awake,1.0,0.0,0.31,0.69,,,
2025-11-17 21:58:28.900,Awake,1.0,0.0,0.23,0.77,,,
2025-11-17 21:58:34.900,Awake,0.91,0.09,0.08,0.92,,,
2025-11-17 21:58:40.900,Awake,1.0,0.0,0.14,0.86,,,
2025-11-17 21:58:46.900,Awake,0.96,0.04,0.14,0.86,,,
2025-11-17 21:58:52.900,Awake,0.98,0.02,0.11,0.89,,,
2025-11-17 21:58:58.900,Awake,0.91,0.09,0.32,0.68,,,
2025-11-17 21:59:04.900,Core Sleep,0.7,0.3,0.73,0.27,0.57,0.39,0.04
2025-11-17 21:59:10.900,Core Sleep,0.73,0.27,0.82,0.18,0.45,0.43,0.12
2025-11-17 21:59:16.900,Core Sleep,0.53,0.47,0.51,0.49,0.68,0.24,0.08
2025-11-17 21:59:22.900,Awake,1.0,0.0,0.13,0.87,,,
2025-11-17 21:59:28.900,Awake,0.99,0.01,0.33,0.67,,,
2025-11-17 21:59:34.900,Awake,1.0,0.0,0.08,0.92,,,
2025-11-17 21:59:40.900,Core Sleep,1.0,0.0,0.57,0.43,0.91,0.04,0.05
2025-11-17 21:59:46.900,Awake,1.0,0.0,0.46,0.54,,,
2025-11-17 21:59:52.900,Core Sleep,0.93,0.07,0.6,0.4,0.58,0.29,0.13
2025-11-17 21:59:58.900,Awake,0.98,0.02,0.16,0.84,,,
2025-11-17 22:00:04.900,Awake,1.0,0.0,0.21,0.79,,,
2025-11-17 22:00:10.900,Awake,1.0,0.0,0.06,0.94,,,
