datetime,classification,in_bed__inBed,in_bed__notInBed,asleep__Asleep,asleep__Awake,state__Core Sleep,state__REM Sleep,state__Deep Sleep
2025-11-16 22:55:20.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:55:26.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:55:32.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:55:38.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:55:44.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:55:50.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:55:56.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:56:02.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:56:08.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:56:14.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:56:20.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:56:26.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:56:32.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:56:38.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:56:44.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:56:50.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:56:56.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:57:02.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:57:08.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:57:14.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:57:20.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:57:26.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:57:32.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:57:38.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:57:44.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:57:50.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:57:56.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:58:02.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:58:08.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:58:14.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:58:20.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:58:26.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:58:32.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:58:38.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:58:44.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:58:50.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:58:56.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:59:02.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:59:08.030,notInBed,0.03,0.97,,,,,
2025-11-16 22:59:14.030,notInBed,0.18,0.82,,,,,
2025-11-16 22:59:20.030,notInBed,0.16,0.84,,,,,
2025-11-16 22:59:26.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:59:32.030,notInBed,0.0,1.0,,,,,
2025-11-16 22:59:38.030,notInBed,0.01,0.99,,,,,
2025-11-16 22:59:44.030,notInBed,0.01,0.99,,,,,
2025-11-16 22:59:50.030,notInBed,0.12,0.88,,,,,
2025-11-16 22:59:56.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:00:02.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:00:08.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:00:14.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:00:20.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:00:26.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:00:32.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:00:38.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:00:44.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:00:50.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:00:56.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:01:02.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:01:08.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:01:14.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:01:20.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:01:26.030,notInBed,0.01,0.99,,,,,
2025-11-16 23:01:32.030,notInBed,0.01,0.99,,,,,
2025-11-16 23:01:38.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:01:44.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:01:50.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:01:56.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:02:02.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:02:08.030,notInBed,0.12,0.88,,,,,
2025-11-16 23:02:14.030,notInBed,0.03,0.97,,,,,
2025-11-16 23:02:20.030,notInBed,0.19,0.81,,,,,
2025-11-16 23:02:26.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:02:32.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:02:38.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:02:44.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:02:50.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:02:56.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:03:02.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:03:08.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:03:14.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:03:20.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:03:26.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:03:32.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:03:38.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:03:44.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:03:50.030,notInBed,0.0,1.0,,,,,
2025-11-16 23:03:56.030,notInBed,0.0,1.0,,,,,
